,Nom du site,Coordonnées,Conducteurs,Chomeurs,CodePostal,PrixMètre2,DistanceToPort,RivalCompanies,Commune,CodeInseeCommune,Adress,Taxe TCFE
31,PARIS,"48,968767, 2,501282",160899,981800,93600,1813.0946306787794,691.4803243563813,15,Seine-Saint-Denis,93005,"Boulevard André Citroën, Rose des Vents, Aulnay-sous-Bois, Le Raincy, Seine-Saint-Denis, Île-de-France, France métropolitaine, 93600, France",56.355
32,PERPIGNAN,"42,776822, 2,895219",26594,550000,66600,1162.091825649381,360.4369878469438,3,Pyrénées-Orientales,66030,"Mas de la Garrigue Sud, Rivesaltes, Perpignan, Pyrénées-Orientales, Occitanie, France métropolitaine, 66600, France",56.355
33,POITIERS,"46,702604, 0,368312",18925,460800,86130,372.37504922723724,632.0352317895607,3,Vienne,86019,"Aire de Poitiers Jaunay-Clan, VC numéro 3, Bergères, Jaunay-Clan, Jaunay-Marigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86130, France",56.355
34,REIMS,"49,244770, 3,918575",17475,404900,51390,1149.7883115098823,669.1173927838486,7,Marne,51072,"Rue des Robogniers, Vrigny, Reims, Marne, Grand Est, France métropolitaine, 51390, France",56.355
35,RENNES,"48,215904, -1,512504",41271,245700,35340,1193.3465470960575,841.4696878572315,9,Ille-et-Vilaine,35031,"Avenue de la Forêt, Maison Forestière des Brosses, Liffré, Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, 35340, France",56.355
36,ROUEN,"49,490194, 1,143047",27620,243500,76230,1308.6005779995853,795.9597600094633,10,Seine-Maritime,76108,"Plaine de la Ronce, Route de Neufchâtel, Parc d'activités de la Plaine de la Ronce, Isneauville, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76230, France",56.355
37,SAINT-ETIENNE,"45,465009, 4,389959",84623,598700,42000,1551.3646471858983,298.59026681614785,1,Saint-Étienne,42218,"Impasse d'Arsonval, Place Manuel Balboa, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42000, France",56.355
38,STRASBOURG,"48,586953, 7,683012",24704,404900,67201,930.751825031185,541.6054042354609,8,Bas-Rhin,67118,"Route de Wasselonne, Eckbolsheim, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67201, France",49.92
39,TOULON,"43,160883, 6,060012",57059,446400,83210,1676.4438688085554,105.49452014434614,7,Var,83017,"La Farlède, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83210, France",56.355
40,TOULOUSE,"43,636368, 1,419771",35180,550000,31200,1722.0303367494625,463.22059517493994,6,Toulouse,31555,"Rue Marie Laurencin, Sept Deniers - Ginestous, Toulouse Nord, Toulouse, Haute-Garonne, Occitanie, France métropolitaine, 31200, France",56.355
41,TOURS,"47,472536, 0,748173",32700,191000,37210,1721.8514805764032,656.1129573192027,5,Indre-et-Loire,37052,"Avenue du Cassantin, ZA Le Cassantin, La Diablerie, Parçay-Meslay, Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37210, France",56.355
