DateChargement_jour,DateLivraison_jour,Poids
17.0,21.0,0.60252
17.0,18.0,0.37805
17.0,19.0,1.77514
17.0,18.0,0.44396
17.0,19.0,0.8292
17.0,18.0,0.60101
17.0,18.0,1.04447
17.0,18.0,8.7252
17.0,21.0,0.601
17.0,18.0,0.51072
17.0,19.0,2.27982
17.0,19.0,0.54154
17.0,20.0,1.64786
17.0,18.0,0.44358
17.0,20.0,0.43938
17.0,18.0,0.35134
17.0,18.0,0.68756
17.0,19.0,0.90856
18.0,19.0,0.45118
18.0,21.0,0.75428
18.0,20.0,0.6135
18.0,19.0,1.91302
18.0,21.0,0.27774
18.0,19.0,0.6921
18.0,21.0,1.0186
18.0,21.0,1.91152
18.0,21.0,0.329
18.0,19.0,0.27329
18.0,21.0,1.29263
18.0,19.0,0.98319
18.0,19.0,0.719
19.0,20.0,0.99575
19.0,22.0,0.48968
19.0,20.0,0.35859
19.0,23.0,0.4775
19.0,20.0,1.57489
19.0,20.0,0.58525
19.0,20.0,1.49874
19.0,20.0,6.50192
19.0,21.0,0.66419
19.0,20.0,0.6927
19.0,20.0,2.1714
19.0,20.0,0.66615
20.0,22.0,0.10313
20.0,23.0,1.75753
20.0,21.0,0.8113
20.0,24.0,0.19615
20.0,23.0,0.60606
20.0,21.0,0.39033
20.0,21.0,1.37114
20.0,24.0,0.69005
20.0,24.0,0.23436
20.0,21.0,0.38953
20.0,21.0,0.2745
20.0,21.0,0.36955
20.0,22.0,0.8398
20.0,22.0,0.53735
20.0,22.0,1.48972
21.0,22.0,0.46542
21.0,22.0,4.25793
21.0,22.0,0.38599
21.0,24.0,2.54477
21.0,24.0,0.241
21.0,24.0,1.44396
21.0,22.0,0.228
21.0,22.0,3.88675
21.0,22.0,1.496
21.0,22.0,0.23059
21.0,23.0,1.60157
21.0,22.0,0.3586
21.0,22.0,0.60097
21.0,23.0,0.4474
21.0,22.0,0.476
21.0,22.0,9.84084
22.0,26.0,2.95861
22.0,23.0,5.2959
22.0,23.0,0.26947
22.0,23.0,0.53892
22.0,23.0,0.4326
22.0,24.0,0.25423
22.0,23.0,6.048
22.0,26.0,0.76304
22.0,23.0,0.81179
22.0,23.0,0.00448
22.0,23.0,0.7935
22.0,26.0,3.747
22.0,23.0,0.94744
23.0,25.0,1.701
23.0,25.0,0.67552
23.0,25.0,2.21606
23.0,24.0,0.11047
23.0,24.0,0.678
23.0,24.0,2.17734
23.0,25.0,0.20522
23.0,24.0,0.22887
23.0,24.0,0.45784
23.0,25.0,1.89029
23.0,25.0,0.551
23.0,24.0,0.2652
23.0,27.0,0.7105
23.0,24.0,1.74617
23.0,24.0,1.8643
23.0,24.0,0.7125
23.0,24.0,0.76596
23.0,24.0,2.002
23.0,24.0,0.5502
23.0,24.0,2.332
23.0,24.0,0.6566
23.0,24.0,0.33782
23.0,24.0,0.327
24.0,25.0,0.66415
24.0,26.0,0.60588
24.0,25.0,0.44634
24.0,25.0,0.3002
24.0,25.0,1.2164
24.0,25.0,0.39383
24.0,28.0,1.068
24.0,28.0,0.37444
24.0,25.0,0.10753
24.0,24.0,0.04317
24.0,28.0,2.10736
24.0,25.0,0.30066
24.0,25.0,0.5872
24.0,25.0,0.837
24.0,28.0,2.454
24.0,25.0,0.56128
24.0,25.0,0.49043
24.0,25.0,0.859
24.0,27.0,2.97386
24.0,27.0,0.2395
24.0,25.0,2.556
24.0,25.0,8.83582
24.0,28.0,0.42068
24.0,26.0,0.44878
24.0,25.0,2.1756
24.0,27.0,0.92136
25.0,26.0,0.7316
25.0,26.0,0.1
25.0,27.0,0.2349
25.0,26.0,0.93912
25.0,27.0,4.046
25.0,26.0,1.39018
25.0,26.0,0.3062
25.0,27.0,1.39988
25.0,26.0,0.9132
25.0,29.0,5.552
25.0,28.0,1.384
25.0,26.0,0.7603
25.0,28.0,0.511
25.0,26.0,0.7557
26.0,27.0,0.7524
26.0,28.0,0.8163
26.0,29.0,0.084
26.0,30.0,2.03108
26.0,27.0,0.587
26.0,27.0,0.45289
26.0,29.0,0.3509
26.0,29.0,5.10677
26.0,29.0,2.09222
26.0,30.0,1.1017
26.0,27.0,8.31128
26.0,27.0,0.301
26.0,27.0,1.00136
26.0,27.0,0.1631
26.0,27.0,1.24744
26.0,27.0,0.92592
26.0,30.0,1.3006
27.0,31.0,0.754
27.0,31.0,0.4694
27.0,29.0,0.06634
27.0,29.0,2.6106
27.0,28.0,4.418
27.0,31.0,1.68
27.0,29.0,1.56603
27.0,30.0,2.422
27.0,28.0,0.27269
27.0,27.0,1.109
27.0,28.0,0.68388
27.0,28.0,0.23489
27.0,29.0,1.84896
27.0,28.0,1.879
28.0,30.0,1.72234
28.0,29.0,1.05273
28.0,29.0,0.287
28.0,30.0,1.124
28.0,32.0,1.23193
28.0,32.0,0.27573
28.0,29.0,0.30027
28.0,29.0,1.496
28.0,30.0,0.94876
28.0,30.0,1.8809
28.0,29.0,1.03248
29.0,30.0,2.71995
29.0,30.0,1.0
29.0,31.0,1.943
29.0,30.0,1.22377
29.0,30.0,3.725
29.0,32.0,0.29619
29.0,32.0,0.473
29.0,30.0,1.0
29.0,30.0,0.20867
29.0,33.0,2.9852
29.0,31.0,1.29699
29.0,30.0,0.80605
29.0,30.0,0.811
29.0,30.0,0.44017
29.0,30.0,0.9264
29.0,31.0,0.12066
30.0,31.0,0.64951
30.0,32.0,0.23159
30.0,31.0,0.6755
30.0,31.0,0.49093
30.0,31.0,0.20867
30.0,34.0,0.82622
30.0,31.0,0.78568
30.0,32.0,0.46309
30.0,32.0,0.52824
30.0,33.0,1.90875
30.0,34.0,0.58843
30.0,31.0,0.81625
30.0,34.0,3.82128
30.0,32.0,0.873
30.0,31.0,0.4785
30.0,31.0,4.60289
30.0,32.0,0.40202
30.0,31.0,15.2693
30.0,31.0,0.748
30.0,32.0,0.90594
30.0,32.0,0.62063
30.0,31.0,3.33971
30.0,31.0,1.31
31.0,33.0,2.92987
31.0,32.0,1.42647
31.0,32.0,0.896
31.0,34.0,2.3536
31.0,32.0,1.077
31.0,32.0,0.3624
31.0,32.0,0.55832
31.0,32.0,0.7136
31.0,32.0,1.0724
31.0,32.0,2.932
31.0,32.0,0.41
31.0,32.0,0.75905
31.0,33.0,1.10551
31.0,35.0,0.40276
31.0,33.0,5.51436
31.0,32.0,0.3552
31.0,32.0,1.29998
31.0,33.0,5.82353
32.0,33.0,1.14248
32.0,35.0,1.03534
32.0,33.0,0.8863
32.0,36.0,1.33929
32.0,35.0,1.75
32.0,34.0,0.111
32.0,34.0,0.936
32.0,33.0,0.66306
32.0,33.0,1.2252
32.0,33.0,0.3085
32.0,36.0,0.95679
32.0,33.0,3.42422
32.0,34.0,0.2412
32.0,33.0,0.569
32.0,34.0,4.21686
32.0,33.0,0.418
32.0,36.0,2.425
32.0,33.0,1.37496
32.0,36.0,2.62552
33.0,34.0,0.57996
33.0,34.0,0.596
33.0,34.0,0.9276
33.0,34.0,0.433
33.0,34.0,1.68485
33.0,36.0,0.25842
33.0,37.0,0.318
33.0,35.0,0.58144
33.0,36.0,0.37233
34.0,35.0,0.31398
34.0,35.0,0.39947
34.0,36.0,1.89754
34.0,35.0,0.288
34.0,35.0,1.19
34.0,35.0,1.87222
34.0,36.0,0.51866
34.0,38.0,0.33331
35.0,36.0,0.47979
35.0,36.0,2.582
35.0,39.0,0.638
35.0,38.0,0.78439
35.0,36.0,0.6652
35.0,37.0,3.71596
35.0,37.0,3.03051
35.0,39.0,0.7511
35.0,36.0,1.303
35.0,36.0,1.49127
35.0,36.0,0.303
35.0,36.0,0.12405
35.0,36.0,0.67083
35.0,37.0,3.96235
35.0,36.0,0.98903
35.0,36.0,2.32965
35.0,37.0,0.65391
35.0,36.0,0.3123
35.0,36.0,0.28996
35.0,36.0,0.461
36.0,39.0,0.30445
36.0,37.0,2.5242
36.0,39.0,2.84275
36.0,38.0,1.77916
36.0,38.0,0.78399
36.0,37.0,0.49126
36.0,37.0,0.398
36.0,39.0,3.314
36.0,37.0,2.9014
36.0,37.0,5.71804
36.0,38.0,0.60483
36.0,38.0,0.44
36.0,37.0,0.28605
36.0,37.0,1.18
36.0,37.0,3.42613
36.0,40.0,0.3241
36.0,37.0,1.78423
36.0,38.0,0.687
36.0,37.0,0.37908
36.0,37.0,0.24395
37.0,37.0,0.48389
37.0,39.0,1.05342
37.0,38.0,0.24522
37.0,38.0,0.592
37.0,38.0,1.44285
37.0,38.0,4.0925
37.0,39.0,0.8356
37.0,39.0,1.66361
37.0,39.0,2.04582
37.0,37.0,1.13137
37.0,38.0,1.123
37.0,40.0,0.39675
37.0,38.0,8.33008
37.0,41.0,0.23282
37.0,38.0,1.8912
37.0,38.0,0.73509
37.0,41.0,0.6019
38.0,40.0,0.488
38.0,39.0,0.8534
38.0,39.0,0.6398
38.0,39.0,4.2
38.0,40.0,1.422
38.0,39.0,0.80045
38.0,40.0,0.78032
38.0,39.0,0.828
38.0,39.0,0.7812
38.0,39.0,2.5805
38.0,39.0,3.36356
38.0,39.0,0.54822
38.0,39.0,0.58445
38.0,39.0,1.00325
38.0,40.0,2.8469
38.0,41.0,0.73011
38.0,39.0,0.53882
38.0,41.0,0.22605
38.0,40.0,0.41609
38.0,41.0,1.12001
38.0,40.0,0.30443
39.0,40.0,0.55
39.0,40.0,0.91483
39.0,41.0,0.9651
39.0,43.0,0.69478
39.0,40.0,1.36073
